year,seaice_conc
1850,27.07158088684082
1851,27.708511352539062
1852,27.50876808166504
1853,27.586923599243164
1854,27.599109649658203
1855,27.615020751953125
1856,27.636699676513672
1857,27.584972381591797
1858,27.584972381591797
1859,27.578882217407227
1860,27.77338218688965
1861,27.59613037109375
1862,27.59613037109375
1863,27.77338218688965
1864,27.77338218688965
1865,27.824373245239258
1866,27.724178314208984
1867,27.749910354614258
1868,27.71122932434082
1869,27.971729278564453
1870,27.533187866210938
1871,27.52024269104004
1872,27.474475860595703
1873,27.430143356323242
1874,27.331430435180664
1875,27.621826171875
1876,27.50290298461914
1877,27.225717544555664
1878,27.377405166625977
1879,27.3884220123291
1880,27.26141929626465
1881,27.434894561767578
1882,27.568254470825195
1883,27.53468894958496
1884,27.581562042236328
1885,27.482006072998047
1886,27.59422492980957
1887,27.556795120239258
1888,27.353357315063477
1889,27.25209617614746
1890,27.563318252563477
1891,27.613323211669922
1892,27.606618881225586
1893,27.43846321105957
1894,27.328012466430664
1895,27.563627243041992
1896,27.467931747436523
1897,27.612194061279297
1898,27.638626098632812
1899,27.390886306762695
1900,27.40215301513672
1901,27.611038208007812
1902,27.654682159423828
1903,27.59357452392578
1904,27.582347869873047
1905,27.551977157592773
1906,27.555551528930664
1907,27.584095001220703
1908,27.80129051208496
1909,27.853158950805664
1910,27.558246612548828
1911,27.582073211669922
1912,27.626310348510742
1913,27.580259323120117
1914,27.382814407348633
1915,27.309558868408203
1916,27.572463989257812
1917,27.76563835144043
1918,27.503332138061523
1919,27.583789825439453
1920,27.432405471801758
1921,27.432146072387695
1922,27.52499771118164
1923,27.777542114257812
1924,27.750831604003906
1925,27.558448791503906
1926,27.479455947875977
1927,27.456340789794922
1928,27.30983543395996
1929,27.40062713623047
1930,27.31170654296875
1931,27.35838508605957
1932,27.486557006835938
1933,27.059993743896484
1934,27.645423889160156
1935,27.32640838623047
1936,27.241416931152344
1937,27.418012619018555
1938,27.570926666259766
1939,27.8524227142334
1940,27.948749542236328
1941,27.32647132873535
1942,27.677587509155273
1943,27.44170570373535
1944,27.56403160095215
1945,27.55914878845215
1946,27.183094024658203
1947,27.400196075439453
1948,27.484159469604492
1949,27.3469295501709
1950,27.30820655822754
1951,27.28864097595215
1952,27.161619186401367
1953,27.57744789123535
1954,27.522310256958008
1955,27.390926361083984
1956,27.784568786621094
1957,27.84073829650879
1958,28.010583877563477
1959,27.804975509643555
1960,27.400205612182617
1961,27.370569229125977
1962,27.13966941833496
1963,27.75239372253418
1964,27.558408737182617
1965,27.71223258972168
1966,27.841609954833984
1967,27.456350326538086
1968,27.996065139770508
1969,27.745088577270508
1970,27.5667781829834
1971,27.675371170043945
1972,27.8352108001709
1973,27.05879783630371
1974,26.556543350219727
1975,27.34617042541504
1976,27.396432876586914
1977,27.3923282623291
1978,27.53958511352539
1979,28.520395278930664
1980,28.27999496459961
1981,28.103160858154297
1982,28.347003936767578
1983,28.00681495666504
1984,27.41278648376465
1985,27.711637496948242
1986,27.96945571899414
1987,27.807525634765625
1988,28.20663833618164
1989,28.076082229614258
1990,27.733076095581055
1991,27.5780086517334
1992,27.80596160888672
1993,27.863845825195312
1994,27.775711059570312
1995,27.589372634887695
1996,27.566144943237305
1997,27.895444869995117
1998,27.78399658203125
1999,27.548805236816406
2000,27.154186248779297
2001,27.265758514404297
2002,27.414880752563477
2003,27.549949645996094
2004,27.40230941772461
2005,26.831119537353516
2006,26.508771896362305
2007,26.66945457458496
2008,26.98928451538086
2009,27.075481414794922
2010,26.95499610900879
2011,26.847558975219727
2012,26.460439682006836
2013,26.830013275146484
