year,seaice_conc
1850,22.740510940551758
1851,23.4050350189209
1852,23.95907211303711
1853,23.684762954711914
1854,23.8115291595459
1855,23.86480712890625
1856,23.911401748657227
1857,23.3884334564209
1858,22.862268447875977
1859,23.050626754760742
1860,23.254257202148438
1861,23.241025924682617
1862,22.706113815307617
1863,22.795076370239258
1864,23.870800018310547
1865,24.22829818725586
1866,23.976472854614258
1867,24.0020751953125
1868,23.79671287536621
1869,23.922122955322266
1870,24.155916213989258
1871,23.68863296508789
1872,23.635408401489258
1873,24.207395553588867
1874,23.38156509399414
1875,24.629854202270508
1876,23.832550048828125
1877,23.770164489746094
1878,23.062223434448242
1879,24.282411575317383
1880,24.337743759155273
1881,23.921459197998047
1882,24.04656219482422
1883,24.085609436035156
1884,24.60039710998535
1885,24.677242279052734
1886,23.068740844726562
1887,24.05509376525879
1888,24.564350128173828
1889,24.434284210205078
1890,24.478374481201172
1891,23.285043716430664
1892,23.043277740478516
1893,24.783388137817383
1894,23.5374813079834
1895,23.54312515258789
1896,23.262414932250977
1897,23.493165969848633
1898,22.885089874267578
1899,22.48309326171875
1900,23.399940490722656
1901,23.887285232543945
1902,23.972034454345703
1903,23.45319938659668
1904,23.109582901000977
1905,23.01237678527832
1906,23.347206115722656
1907,23.142616271972656
1908,23.403213500976562
1909,23.726558685302734
1910,24.066452026367188
1911,23.67497444152832
1912,24.29270362854004
1913,24.603601455688477
1914,23.881244659423828
1915,23.749290466308594
1916,24.727869033813477
1917,24.966951370239258
1918,24.936979293823242
1919,24.08234977722168
1920,23.7175350189209
1921,23.888912200927734
1922,22.9328670501709
1923,23.18800926208496
1924,22.85235595703125
1925,22.99352264404297
1926,24.009502410888672
1927,24.251970291137695
1928,23.6572265625
1929,23.654258728027344
1930,22.907739639282227
1931,23.307950973510742
1932,23.358701705932617
1933,23.030303955078125
1934,24.28946304321289
1935,22.83941078186035
1936,23.088409423828125
1937,21.816415786743164
1938,21.77924919128418
1939,22.446990966796875
1940,23.019006729125977
1941,21.853784561157227
1942,22.967571258544922
1943,21.481952667236328
1944,22.793210983276367
1945,22.1881103515625
1946,22.220605850219727
1947,21.73779296875
1948,22.70745277404785
1949,23.610363006591797
1950,22.650514602661133
1951,22.869068145751953
1952,22.281700134277344
1953,22.86140251159668
1954,22.704933166503906
1955,23.11560821533203
1956,23.39312171936035
1957,22.993440628051758
1958,23.392065048217773
1959,23.16872787475586
1960,22.654460906982422
1961,22.959327697753906
1962,23.67572021484375
1963,24.226539611816406
1964,23.96071434020996
1965,23.672258377075195
1966,24.022541046142578
1967,23.267972946166992
1968,23.281475067138672
1969,24.007993698120117
1970,23.351097106933594
1971,22.60260581970215
1972,23.31850242614746
1973,22.769086837768555
1974,22.990549087524414
1975,22.698333740234375
1976,22.771791458129883
1977,22.63813591003418
1978,23.459880828857422
1979,23.757701873779297
1980,23.808422088623047
1981,23.736772537231445
1982,23.865550994873047
1983,23.673107147216797
1984,23.099367141723633
1985,22.843128204345703
1986,23.600366592407227
1987,23.793615341186523
1988,23.090065002441406
1989,23.420522689819336
1990,22.2548885345459
1991,22.83930206298828
1992,23.30498504638672
1993,22.524303436279297
1994,23.04307746887207
1995,21.886213302612305
1996,23.464242935180664
1997,22.628314971923828
1998,22.654850006103516
1999,22.620943069458008
2000,22.48966407775879
2001,22.419702529907227
2002,22.027769088745117
2003,22.407270431518555
2004,22.15587043762207
2005,21.50650978088379
2006,21.394641876220703
2007,20.422426223754883
2008,21.36935806274414
2009,21.528051376342773
2010,20.894346237182617
2011,20.30155372619629
2012,19.605297088623047
2013,20.941064834594727
