year,seaice_conc
1850,27.802492141723633
1851,27.76616859436035
1852,27.90524673461914
1853,27.825294494628906
1854,27.753971099853516
1855,27.63629913330078
1856,27.578248977661133
1857,27.613121032714844
1858,27.668907165527344
1859,27.71354103088379
1860,27.746923446655273
1861,27.619041442871094
1862,27.681535720825195
1863,27.659269332885742
1864,27.882417678833008
1865,27.76093864440918
1866,27.3343448638916
1867,27.437397003173828
1868,27.906009674072266
1869,28.12116050720215
1870,27.50969886779785
1871,27.879858016967773
1872,27.47801971435547
1873,27.584814071655273
1874,27.587705612182617
1875,27.66097640991211
1876,27.859006881713867
1877,27.683435440063477
1878,27.62502670288086
1879,27.731765747070312
1880,27.72400665283203
1881,27.992040634155273
1882,27.648296356201172
1883,27.733789443969727
1884,27.786033630371094
1885,27.53578758239746
1886,27.841991424560547
1887,27.490711212158203
1888,27.607337951660156
1889,27.67572021484375
1890,27.98663330078125
1891,28.252077102661133
1892,27.89555549621582
1893,27.81102180480957
1894,28.056854248046875
1895,27.703149795532227
1896,27.33999252319336
1897,26.890275955200195
1898,27.007856369018555
1899,27.41388511657715
1900,27.367977142333984
1901,27.55925941467285
1902,27.727750778198242
1903,27.251001358032227
1904,27.047794342041016
1905,27.08558464050293
1906,27.281112670898438
1907,27.344167709350586
1908,27.265918731689453
1909,27.157657623291016
1910,27.25568389892578
1911,27.45710563659668
1912,28.017141342163086
1913,27.525972366333008
1914,27.336090087890625
1915,26.95834732055664
1916,27.235225677490234
1917,28.011425018310547
1918,27.49022102355957
1919,27.384994506835938
1920,26.982812881469727
1921,27.102914810180664
1922,27.34034538269043
1923,27.114551544189453
1924,26.809812545776367
1925,26.712757110595703
1926,27.08738136291504
1927,27.133678436279297
1928,27.158170700073242
1929,27.509807586669922
1930,27.133481979370117
1931,26.53830909729004
1932,27.183168411254883
1933,26.533437728881836
1934,26.999549865722656
1935,27.20302963256836
1936,27.380008697509766
1937,27.00510025024414
1938,27.06313133239746
1939,26.788288116455078
1940,27.352088928222656
1941,27.633995056152344
1942,27.48182487487793
1943,27.637428283691406
1944,27.727628707885742
1945,27.7142333984375
1946,27.356998443603516
1947,26.674272537231445
1948,27.60552215576172
1949,27.12295913696289
1950,27.40312385559082
1951,27.151578903198242
1952,27.588911056518555
1953,28.359895706176758
1954,28.304637908935547
1955,28.469396591186523
1956,28.362361907958984
1957,27.540096282958984
1958,27.7170467376709
1959,28.253202438354492
1960,27.40715789794922
1961,27.87935447692871
1962,27.99624252319336
1963,28.380126953125
1964,28.19683074951172
1965,27.96648406982422
1966,28.45973014831543
1967,28.01968002319336
1968,28.30826187133789
1969,28.59433364868164
1970,27.584997177124023
1971,28.102882385253906
1972,28.088829040527344
1973,27.697999954223633
1974,27.69488525390625
1975,27.660247802734375
1976,27.68042755126953
1977,28.005102157592773
1978,28.00308609008789
1979,28.57302474975586
1980,28.30816078186035
1981,28.377901077270508
1982,28.433349609375
1983,28.13520622253418
1984,28.047771453857422
1985,28.33041763305664
1986,28.309255599975586
1987,28.362051010131836
1988,28.28248405456543
1989,27.596559524536133
1990,27.687496185302734
1991,27.806364059448242
1992,27.566604614257812
1993,28.031557083129883
1994,27.89116859436035
1995,27.361419677734375
1996,27.59726333618164
1997,27.75601577758789
1998,28.141380310058594
1999,27.990148544311523
2000,27.531583786010742
2001,27.965803146362305
2002,27.579954147338867
2003,27.66362953186035
2004,27.1705379486084
2005,27.319927215576172
2006,26.754621505737305
2007,26.919374465942383
2008,27.388551712036133
2009,27.47879409790039
2010,27.368465423583984
2011,27.183012008666992
2012,27.239946365356445
2013,27.36176872253418
