year,seaice_conc
1850,21.496429443359375
1851,21.515064239501953
1852,22.181730270385742
1853,21.555822372436523
1854,20.230693817138672
1855,22.634414672851562
1856,21.915315628051758
1857,21.161033630371094
1858,21.294252395629883
1859,21.92203140258789
1860,21.576154708862305
1861,22.015451431274414
1862,22.273094177246094
1863,21.813142776489258
1864,21.931129455566406
1865,21.37821388244629
1866,21.5294246673584
1867,22.413440704345703
1868,22.66225242614746
1869,22.154634475708008
1870,21.786212921142578
1871,21.929977416992188
1872,21.806428909301758
1873,22.584257125854492
1874,22.813386917114258
1875,22.126422882080078
1876,21.766271591186523
1877,22.222524642944336
1878,22.272525787353516
1879,22.066268920898438
1880,21.836610794067383
1881,21.409168243408203
1882,22.482027053833008
1883,21.342973709106445
1884,21.661806106567383
1885,21.882822036743164
1886,21.779193878173828
1887,21.663898468017578
1888,21.834318161010742
1889,22.541837692260742
1890,21.76087760925293
1891,22.031375885009766
1892,21.846647262573242
1893,22.309188842773438
1894,21.820236206054688
1895,21.95711898803711
1896,22.924043655395508
1897,21.997900009155273
1898,22.308658599853516
1899,21.99070167541504
1900,22.419172286987305
1901,22.22852325439453
1902,21.788000106811523
1903,21.795461654663086
1904,21.482582092285156
1905,22.149856567382812
1906,22.15719223022461
1907,22.17319679260254
1908,23.12165069580078
1909,22.158899307250977
1910,22.517118453979492
1911,22.708127975463867
1912,22.809865951538086
1913,22.329545974731445
1914,23.316043853759766
1915,21.935087203979492
1916,22.117345809936523
1917,21.3903751373291
1918,21.315387725830078
1919,21.600963592529297
1920,21.808992385864258
1921,22.75099754333496
1922,22.62742805480957
1923,22.472213745117188
1924,22.73052215576172
1925,22.548585891723633
1926,22.695905685424805
1927,22.684268951416016
1928,22.76506996154785
1929,22.775287628173828
1930,22.440074920654297
1931,22.78048324584961
1932,22.681650161743164
1933,21.300798416137695
1934,21.970623016357422
1935,21.686288833618164
1936,22.292266845703125
1937,21.780179977416992
1938,22.76557159423828
1939,22.569826126098633
1940,21.968088150024414
1941,22.17241668701172
1942,23.0733642578125
1943,20.881948471069336
1944,22.026914596557617
1945,21.752164840698242
1946,21.298328399658203
1947,21.641637802124023
1948,21.721742630004883
1949,21.331951141357422
1950,21.704818725585938
1951,21.66660499572754
1952,20.90126609802246
1953,22.329343795776367
1954,22.32692527770996
1955,22.44823455810547
1956,23.015165328979492
1957,23.100936889648438
1958,23.157920837402344
1959,22.190893173217773
1960,22.171546936035156
1961,22.069942474365234
1962,23.304462432861328
1963,23.223031997680664
1964,22.999706268310547
1965,23.235998153686523
1966,23.189645767211914
1967,23.17120933532715
1968,22.911556243896484
1969,23.129419326782227
1970,23.304122924804688
1971,22.465835571289062
1972,22.44365119934082
1973,22.55380630493164
1974,22.598854064941406
1975,22.606792449951172
1976,22.704565048217773
1977,22.548606872558594
1978,22.8397159576416
1979,22.499759674072266
1980,23.324621200561523
1981,22.89398193359375
1982,23.534725189208984
1983,23.098987579345703
1984,22.36136245727539
1985,22.280405044555664
1986,23.367765426635742
1987,23.13265609741211
1988,23.40680694580078
1989,22.7218017578125
1990,22.15564727783203
1991,22.291645050048828
1992,23.27849006652832
1993,22.565391540527344
1994,22.800695419311523
1995,21.593414306640625
1996,22.78457260131836
1997,22.302249908447266
1998,22.09378433227539
1999,22.048690795898438
2000,21.751508712768555
2001,21.91274070739746
2002,21.633161544799805
2003,21.633190155029297
2004,21.56133460998535
2005,20.7029972076416
2006,21.139284133911133
2007,18.719404220581055
2008,20.53527069091797
2009,20.295452117919922
2010,20.28437614440918
2011,19.5598201751709
2012,17.959613800048828
2013,20.127737045288086
